Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
47,Don Chaney,SG,32,BOS,65,1074,9.7,.444,,.101,6.5,8.1,7.3,9.5,3.0,0.5,13.1,18.1,,-0.3,1.0,0.6,.027,,-2.4,-0.1,-2.5,-0.1
48,Maurice Cheeks,PG,22,PHI,82,2409,12.6,.541,,.245,2.8,7.9,5.5,22.8,3.2,0.3,23.3,13.4,,1.3,3.6,4.9,.097,,-0.8,1.5,0.7,1.6
49,Phil Chenier,SG,28,WSB,27,385,7.2,.458,,.177,0.8,4.4,2.6,10.2,0.5,0.6,15.4,20.0,,-0.3,0.2,-0.1,-0.014,,-4.4,-2.7,-7.1,-0.5
50,Jim Chones,C,29,CLE,82,2850,13.7,.472,,.200,9.4,23.8,16.2,8.6,0.8,2.0,13.8,18.9,,1.0,2.3,3.3,.056,,-1.4,0.4,-1.0,0.7
51,Jim Cleamons,PG,29,NYK,79,2390,11.8,.513,,.260,2.9,7.2,5.1,19.7,1.4,0.2,16.2,14.3,,2.3,1.1,3.4,.068,,-0.8,-0.8,-1.6,0.2
52,E.C. Coleman,PF,28,HOU,6,39,10.9,.739,,.143,2.8,16.5,9.8,3.2,2.4,0.0,0.0,7.5,,0.1,0.0,0.1,.169,,0.6,-0.1,0.6,0.0
53,Doug Collins,SG,27,PHI,47,1595,16.0,.555,,.344,2.4,5.5,4.0,17.6,1.5,0.7,13.7,23.4,,2.6,1.6,4.2,.125,,0.9,-1.4,-0.5,0.6
54,Michael Cooper,SG,22,LAL,3,7,16.3,.500,,.000,0.0,0.0,0.0,0.0,6.5,0.0,14.3,40.0,,0.0,0.0,0.0,-0.073,,-5.8,-4.5,-10.3,0.0
55,Wayne Cooper,C,22,GSW,65,795,12.5,.464,,.208,12.1,25.8,18.9,3.5,0.4,3.0,14.0,18.9,,0.0,1.2,1.2,.073,,-4.3,-0.8,-5.1,-0.6
56,Dave Corzine,C,22,WSB,59,532,12.5,.600,,.534,10.0,17.9,14.0,10.9,0.8,1.3,26.7,14.3,,0.5,0.6,1.1,.102,,-1.2,0.9,-0.3,0.2
57,Dave Cowens*,C,30,BOS,68,2517,15.2,.516,,.185,6.7,22.2,14.4,13.7,1.4,1.1,13.7,19.6,,2.4,2.4,4.8,.091,,0.1,1.0,1.1,2.0
58,Wesley Cox,SF,24,GSW,31,360,5.3,.447,,.748,5.3,13.5,9.4,4.0,1.7,0.8,21.2,23.3,,-0.9,0.4,-0.5,-0.061,,-6.9,-1.3,-8.2,-0.6
59,Charlie Criss,PG,30,ATL,54,879,9.1,.436,,.298,2.2,5.3,3.7,20.7,2.2,0.2,19.5,18.2,,-0.5,0.7,0.1,.008,,-3.2,-1.5,-4.7,-0.6
60,Geoff Crompton,C,23,DEN,20,88,2.6,.416,,.462,7.2,20.0,13.6,7.3,0.0,1.8,27.7,19.0,,-0.2,0.1,-0.1,-0.081,,-8.4,-1.4,-9.7,-0.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
61,Louie Dampier,PG,34,SAS,70,760,13.3,.513,,.155,2.2,6.4,4.4,19.7,2.0,0.5,12.7,15.3,,0.9,0.7,1.6,.098,,-1.0,-1.5,-2.5,-0.1
62,Bob Dandridge,SF,31,WSB,78,2629,19.0,.553,,.318,4.3,12.9,8.6,19.1,1.2,1.1,13.4,24.1,,5.8,2.8,8.7,.158,,2.8,0.3,3.1,3.4
63,Adrian Dantley*,SF,22,LAL,60,1775,18.4,.589,,.467,8.5,12.2,10.5,10.3,1.6,0.3,14.9,23.4,,4.0,1.6,5.7,.153,,2.1,-1.0,1.0,1.4
64,Brad Davis,PG,23,TOT,27,298,11.7,.599,,.418,0.3,5.5,2.9,21.4,2.4,0.4,20.7,10.8,,0.4,0.2,0.6,.102,,-1.9,-1.6,-3.5,-0.1
64,Brad Davis,PG,23,LAL,5,65,8.5,.745,,.364,0.0,1.6,0.8,16.4,1.4,0.0,32.0,11.6,,0.1,0.0,0.1,.066,,-2.6,-3.8,-6.3,-0.1
64,Brad Davis,PG,23,IND,22,233,12.6,.563,,.432,0.4,6.6,3.5,22.8,2.7,0.5,17.4,10.6,,0.3,0.2,0.5,.112,,-1.8,-1.0,-2.8,0.0
65,Harry Davis,SF,23,CLE,40,394,10.6,.471,,.281,7.1,11.5,9.2,5.5,1.5,1.1,11.8,19.7,,0.1,0.2,0.3,.038,,-2.7,-2.2,-4.8,-0.3
66,Johnny Davis,PG,23,IND,79,2971,14.7,.511,,.319,2.4,4.2,3.3,21.3,1.5,0.4,13.1,21.4,,3.7,1.5,5.2,.083,,0.6,-1.8,-1.2,0.6
67,Walter Davis,SF,24,PHO,79,2437,23.0,.606,,.300,5.1,11.8,8.5,21.1,2.7,0.6,16.0,29.0,,6.3,3.1,9.4,.184,,4.3,0.1,4.4,3.9
68,Darryl Dawkins,C,22,PHI,78,2035,15.6,.545,,.283,6.6,24.9,16.1,9.1,0.7,3.6,17.4,21.7,,0.8,3.8,4.6,.108,,-2.2,1.4,-0.8,0.6
69,Coby Dietrick,C,30,SAS,76,1487,13.9,.560,,.248,6.5,15.5,11.1,15.7,2.1,1.3,17.2,13.6,,2.1,2.0,4.1,.133,,0.4,1.7,2.1,1.5
70,Jacky Dorsey,SF,24,HOU,20,108,12.5,.560,,.372,12.3,10.9,11.6,2.6,0.4,1.0,13.8,21.2,,0.1,0.0,0.2,.076,,-0.7,-4.3,-5.0,-0.1
71,Leon Douglas,C,24,DET,78,2215,12.1,.529,,.470,11.3,20.2,15.6,4.3,0.8,1.3,18.4,17.7,,1.1,2.0,3.1,.068,,-1.7,-0.5,-2.2,-0.1
72,John Drew,SF,24,ATL,79,2410,21.7,.536,,.492,9.7,13.9,11.7,8.1,2.5,0.4,11.2,30.9,,6.1,2.8,8.9,.177,,3.0,-1.6,1.3,2.0
73,Charles Dudley,PG,28,CHI,43,684,6.4,.411,,.336,4.0,9.7,6.9,20.9,2.2,0.1,30.8,12.1,,-0.7,0.6,-0.1,-0.009,,-4.6,0.3,-4.2,-0.4
74,Mike Dunleavy,SG,24,HOU,74,1486,14.9,.582,,.433,2.1,7.2,4.7,27.4,1.7,0.2,20.4,16.9,,2.8,0.5,3.4,.109,,0.6,-2.1,-1.5,0.2
75,T.R. Dunn,SG,23,POR,80,1828,12.3,.496,,.288,8.7,12.3,10.5,7.4,2.2,0.7,13.1,15.3,,1.7,2.0,3.7,.097,,-0.7,0.3,-0.4,0.8
76,James Edwards,C,23,IND,82,2546,16.9,.542,,.414,7.2,20.8,14.0,5.2,1.1,2.2,11.4,21.8,,3.9,3.2,7.1,.133,,-0.4,-0.4,-0.8,0.8
77,Bob Elliott,PF,23,NJN,14,282,13.6,.630,,.767,5.7,15.6,10.4,10.7,0.9,0.8,21.0,16.4,,0.4,0.3,0.7,.123,,-1.1,-0.5,-1.6,0.0
78,Bo Ellis,PF,24,DEN,42,269,12.2,.524,,.391,6.7,17.3,12.0,5.0,1.7,2.5,16.9,18.6,,0.1,0.4,0.5,.090,,-3.6,-0.4,-4.0,-0.1
79,Len Elmore,C,26,IND,80,1264,12.2,.444,,.228,9.4,23.4,16.4,7.4,2.2,3.3,16.2,13.9,,-0.1,2.2,2.1,.079,,-3.3,2.8,-0.5,0.5
80,Alex English*,SF,25,IND,81,2696,17.6,.540,,.209,9.7,15.3,12.5,14.4,1.2,1.5,14.0,20.3,,4.3,2.6,7.0,.124,,1.9,0.8,2.7,3.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
81,Ray Epps,SF,22,GSW,13,72,7.9,.490,,.348,0.0,7.5,3.7,3.6,0.7,0.0,7.0,16.0,,0.0,0.0,0.1,.057,,-4.2,-2.7,-6.9,-0.1
82,Julius Erving*,SF,28,PHI,78,2802,20.1,.538,,.344,7.7,13.1,10.5,19.6,2.1,1.9,15.8,27.7,,3.6,4.4,7.9,.136,,2.2,1.4,3.6,4.0
83,Chris Ford,SG,30,TOT,81,2737,14.0,.502,,.199,5.0,6.1,5.5,19.6,1.9,0.5,14.5,20.7,,2.1,1.4,3.5,.062,,0.3,-1.0,-0.6,1.0
83,Chris Ford,SG,30,DET,3,108,5.6,.428,,.229,8.4,9.0,8.7,5.7,0.4,0.5,20.6,17.1,,-0.1,0.0,-0.1,-0.043,,-4.7,-1.7,-6.4,-0.1
83,Chris Ford,SG,30,BOS,78,2629,14.3,.505,,.198,4.8,6.0,5.4,20.2,2.0,0.5,14.3,20.8,,2.3,1.4,3.6,.067,,0.6,-1.0,-0.4,1.1
84,Don Ford,PF,26,LAL,79,1540,11.1,.540,,.198,6.2,12.4,9.5,8.0,1.5,0.8,16.0,15.1,,1.0,1.5,2.5,.078,,-1.3,0.0,-1.3,0.3
85,Phil Ford,PG,22,KCK,79,2723,15.8,.534,,.399,1.3,6.1,3.6,32.2,2.9,0.1,21.5,21.2,,2.5,3.2,5.7,.101,,0.4,-0.6,-0.3,1.2
86,Bayard Forrest,C,24,PHO,75,1243,9.6,.462,,.423,10.0,18.0,14.1,15.3,1.0,1.5,24.9,13.3,,-0.2,1.5,1.2,.048,,-2.6,1.5,-1.1,0.3
87,Walt Frazier*,PG,33,CLE,12,279,12.9,.482,,.221,2.6,5.4,3.9,16.2,2.2,0.4,14.1,22.2,,0.1,0.1,0.2,.029,,-1.5,-2.3,-3.8,-0.1
88,World B. Free,PG,25,SDC,78,2954,22.1,.552,,.523,4.6,6.3,5.4,17.1,1.7,0.6,12.7,29.9,,9.4,0.7,10.1,.164,,4.1,-2.7,1.3,2.5
89,Terry Furlow,SG,24,TOT,78,1686,17.0,.528,,.243,4.7,6.2,5.4,16.3,1.6,1.0,13.1,24.1,,2.5,0.8,3.3,.093,,1.0,-2.1,-1.1,0.4
89,Terry Furlow,SG,24,CLE,49,1110,17.0,.523,,.220,4.1,5.5,4.7,14.2,1.7,0.8,12.2,25.5,,1.4,0.4,1.8,.078,,0.7,-2.7,-2.0,0.0
89,Terry Furlow,SG,24,ATL,29,576,17.1,.538,,.298,5.8,7.6,6.7,20.5,1.5,1.3,15.0,21.5,,1.1,0.4,1.5,.124,,1.5,-0.9,0.5,0.4
90,Mike Gale,SG,28,SAS,82,2121,12.3,.500,,.176,2.1,7.0,4.6,20.6,3.1,0.9,18.8,14.5,,1.0,2.6,3.6,.082,,-1.0,0.9,-0.1,1.0
91,Gus Gerard,SF,25,TOT,58,465,11.6,.466,,.469,9.1,13.9,11.5,5.9,1.9,1.6,13.3,22.3,,-0.1,0.6,0.5,.055,,-3.1,-0.8,-3.8,-0.2
91,Gus Gerard,SF,25,DET,2,6,26.3,.387,,.667,16.8,0.0,8.7,0.0,14.9,0.0,0.0,24.6,,0.0,0.0,0.0,.193,,2.1,4.5,6.6,0.0
91,Gus Gerard,SF,25,KCK,56,459,11.4,.467,,.466,9.0,14.1,11.5,6.0,1.8,1.6,13.5,22.3,,-0.1,0.6,0.5,.053,,-3.1,-0.8,-4.0,-0.2
92,George Gervin*,SF,26,SAS,80,2888,23.2,.591,,.326,5.4,9.0,7.3,11.5,2.1,1.6,12.5,30.0,,8.1,3.2,11.4,.189,,4.0,-1.0,3.0,3.7
93,John Gianelli,C,28,MIL,82,2057,10.3,.511,,.194,6.6,15.4,11.0,9.1,1.0,1.5,15.6,12.8,,1.2,1.8,3.0,.070,,-1.4,1.0,-0.4,0.8
94,Artis Gilmore*,C,29,CHI,82,3265,22.3,.619,,.448,9.9,25.0,17.5,12.9,0.7,2.6,16.5,23.0,,8.6,4.1,12.7,.186,,3.3,1.4,4.7,5.6
95,Jack Givens,SF,22,ATL,74,1347,13.0,.457,,.239,7.6,9.7,8.6,8.7,2.5,0.7,10.7,20.5,,0.7,1.4,2.1,.074,,-0.9,-0.3,-1.2,0.3
96,Mike Glenn,SG,23,NYK,75,1171,15.5,.567,,.130,2.6,5.0,3.8,16.5,1.4,0.3,11.1,19.3,,2.4,0.5,2.8,.117,,0.6,-2.8,-2.2,-0.1
97,Glen Gondrezick,SF,23,NYK,75,1602,11.0,.511,,.298,9.8,18.7,14.3,8.0,2.8,0.6,20.5,11.4,,0.6,2.1,2.7,.082,,-1.4,2.3,0.9,1.2
98,Gail Goodrich*,SG,35,NOJ,74,2130,13.1,.499,,.240,3.2,5.1,4.2,23.5,1.9,0.3,16.4,20.1,,1.1,1.0,2.2,.049,,-0.7,-1.9,-2.6,-0.3
99,Mike Green,C,27,SAS,76,1641,12.9,.528,,.302,8.7,13.8,11.3,8.3,1.0,3.7,14.1,14.5,,1.8,2.0,3.8,.112,,-0.5,1.6,1.1,1.3
100,Rickey Green,PG,24,DET,27,431,10.2,.433,,.379,3.5,6.2,4.8,18.7,2.6,0.1,17.6,22.1,,-0.4,0.3,-0.1,-0.012,,-3.4,-1.3,-4.7,-0.3
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Steve Green,SF,25,IND,39,265,12.4,.500,,.382,8.5,11.7,10.1,10.6,1.9,0.6,14.1,17.8,,0.2,0.3,0.4,.080,,-1.4,-0.7,-2.2,0.0
102,Tommie Green,PG,22,NOJ,59,809,8.3,.438,,.266,2.5,5.6,4.1,22.2,3.3,0.4,25.2,16.7,,-1.0,0.7,-0.3,-0.017,,-4.5,-0.7,-5.2,-0.7
103,Kevin Grevey,SF,25,WSB,65,1856,14.0,.494,,.243,5.0,7.7,6.3,11.1,1.1,0.4,10.5,23.5,,1.9,1.5,3.4,.087,,0.1,-1.4,-1.3,0.3
104,Paul Griffin,PF,25,NOJ,77,1398,10.0,.527,,.659,9.1,17.9,13.7,12.1,1.7,1.3,28.9,11.0,,0.0,1.5,1.6,.054,,-2.6,1.8,-0.7,0.4
105,Bob Gross,SF,25,POR,53,1441,14.0,.519,,.269,8.1,11.2,9.6,17.0,2.3,1.8,19.6,16.9,,1.2,1.7,2.9,.097,,0.2,1.4,1.6,1.3
106,Ernie Grunfeld,SF,23,MIL,82,1778,15.2,.546,,.380,7.7,14.7,11.2,15.2,1.5,0.4,15.5,19.9,,2.8,1.6,4.3,.117,,0.7,-0.3,0.5,1.1
107,Lars Hansen,C,24,SEA,15,205,13.6,.538,,.544,11.3,19.0,15.1,9.2,0.2,0.3,11.3,15.2,,0.4,0.3,0.6,.149,,-0.4,-0.7,-1.1,0.0
